Jurisdiction,Children,BasicAmount,PlusPct,OfIncomeOver
AB,1,1326.0,0.86,150000
AB,2,2163.0,1.3,150000
AB,3,2833.0,1.68,150000
AB,4,3381.0,1.98,150000
AB,5,3838.0,2.28,150000
AB,6,4225.0,2.54,150000
AB,7,4225.0,2.54,150000
BC,1,1383.0,0.84,150000
BC,2,2215.0,1.28,150000
BC,3,2881.0,1.66,150000
BC,4,3426.0,1.98,150000
BC,5,3880.0,2.24,150000
BC,6,4264.0,2.44,150000
BC,7,4264.0,2.44,150000
MB,1,1268.0,0.76,150000
MB,2,2048.0,1.24,150000
MB,3,2672.0,1.62,150000
MB,4,3182.0,1.88,150000
MB,5,3603.0,2.14,150000
MB,6,3957.0,2.36,150000
MB,7,3957.0,2.36,150000
NB,1,1288.0,0.78,150000
NB,2,2077.0,1.22,150000
NB,3,2709.0,1.64,150000
NB,4,3225.0,1.88,150000
NB,5,3656.0,2.2,150000
NB,6,4020.0,2.38,150000
NB,7,4020.0,2.38,150000
NL,1,1286.0,0.82,150000
NL,2,2069.0,1.22,150000
NL,3,2696.0,1.58,150000
NL,4,3208.0,1.8,150000
NL,5,3636.0,2.1,150000
NL,6,3997.0,2.24,150000
NL,7,3997.0,2.24,150000
NS,1,1250.0,0.78,150000
NS,2,2014.0,1.22,150000
NS,3,2625.0,1.56,150000
NS,4,3125.0,1.86,150000
NS,5,3542.0,2.12,150000
NS,6,3894.0,2.28,150000
NS,7,3894.0,2.28,150000
NT,1,1383.0,0.86,150000
NT,2,2226.0,1.34,150000
NT,3,2900.0,1.68,150000
NT,4,3452.0,2.02,150000
NT,5,3912.0,2.28,150000
NT,6,4301.0,2.5,150000
NT,7,4301.0,2.5,150000
NU,1,1436.0,0.94,150000
NU,2,2308.0,1.44,150000
NU,3,3005.0,1.76,150000
NU,4,3576.0,2.1,150000
NU,5,4052.0,2.42,150000
NU,6,4454.0,2.6,150000
NU,7,4454.0,2.6,150000
ON,1,1327.0,0.76,150000
ON,2,2135.0,1.22,150000
ON,3,2781.0,1.54,150000
ON,4,3310.0,1.86,150000
ON,5,3751.0,2.14,150000
ON,6,4123.0,2.26,150000
ON,7,4123.0,2.26,150000
PE,1,1242.0,0.74,150000
PE,2,2012.0,1.24,150000
PE,3,2627.0,1.54,150000
PE,4,3131.0,1.86,150000
PE,5,3550.0,2.02,150000
PE,6,3905.0,2.22,150000
PE,7,3905.0,2.22,150000
SK,1,1293.0,0.8,150000
SK,2,2085.0,1.28,150000
SK,3,2719.0,1.7,150000
SK,4,3237.0,1.96,150000
SK,5,3669.0,2.22,150000
SK,6,4034.0,2.4,150000
SK,7,4034.0,2.4,150000
YT,1,1380.0,0.9,150000
YT,2,2220.0,1.32,150000
YT,3,2893.0,1.74,150000
YT,4,3443.0,2.02,150000
YT,5,3902.0,2.34,150000
YT,6,4290.0,2.56,150000
YT,7,4290.0,2.56,150000
