Children,Income,Amount
1,43000,404.0
1,43100,405.0
1,43200,406.0
1,43300,407.0
1,43400,408.0
1,43500,409.0
1,43600,410.0
1,43700,411.0
1,43800,412.0
1,43900,413.0
1,44000,414.0
1,44100,415.0
1,44200,416.0
1,44300,417.0
1,44400,418.0
1,44500,419.0
1,44600,420.0
1,44700,421.0
1,44800,422.0
1,44900,422.0
1,45000,423.0
1,45100,424.0
1,45200,425.0
1,45300,426.0
1,45400,427.0
1,45500,428.0
1,45600,429.0
1,45700,430.0
1,45800,431.0
1,45900,432.0
1,46000,433.0
1,46100,434.0
1,46200,435.0
1,46300,436.0
1,46400,437.0
1,46500,438.0
1,46600,438.0
1,46700,439.0
1,46800,440.0
1,46900,441.0
1,47000,442.0
1,47100,443.0
1,47200,444.0
1,47300,445.0
1,47400,446.0
1,47500,446.0
1,47600,447.0
1,47700,448.0
1,47800,449.0
1,47900,450.0
1,48000,451.0
1,48100,452.0
1,48200,453.0
1,48300,454.0
1,48400,455.0
1,48500,456.0
1,48600,457.0
1,48700,458.0
1,48800,459.0
1,48900,460.0
1,49000,461.0
1,49100,462.0
1,49200,463.0
1,49300,464.0
1,49400,465.0
1,49500,466.0
1,49600,467.0
1,49700,468.0
1,49800,469.0
1,49900,470.0
1,50000,470.0
1,50100,471.0
1,50200,472.0
1,50300,473.0
1,50400,474.0
1,50500,475.0
1,50600,476.0
1,50700,476.0
1,50800,477.0
1,50900,478.0
1,51000,479.0
1,51100,480.0
1,51200,481.0
1,51300,482.0
1,51400,483.0
1,51500,483.0
1,51600,484.0
1,51700,485.0
1,51800,486.0
1,51900,487.0
1,52000,488.0
1,52100,489.0
1,52200,490.0
1,52300,491.0
1,52400,492.0
1,52500,493.0
1,52600,494.0
1,52700,495.0
1,52800,496.0
1,52900,497.0
1,53000,498.0
1,53100,499.0
1,53200,500.0
1,53300,501.0
1,53400,502.0
1,53500,503.0
1,53600,503.0
1,53700,504.0
1,53800,505.0
1,53900,506.0
1,54000,507.0
1,54100,508.0
1,54200,509.0
1,54300,510.0
1,54400,511.0
1,54500,512.0
1,54600,513.0
1,54700,514.0
1,54800,515.0
1,54900,516.0
1,55000,517.0
1,55100,518.0
1,55200,519.0
1,55300,520.0
1,55400,521.0
1,55500,522.0
1,55600,523.0
1,55700,524.0
1,55800,525.0
1,55900,526.0
1,56000,527.0
1,56100,528.0
1,56200,529.0
1,56300,530.0
1,56400,531.0
1,56500,532.0
1,56600,533.0
1,56700,534.0
1,56800,535.0
1,56900,536.0
1,57000,537.0
1,57100,538.0
1,57200,539.0
1,57300,540.0
1,57400,541.0
1,57500,542.0
1,57600,543.0
1,57700,544.0
1,57800,545.0
1,57900,546.0
1,58000,547.0
1,58100,548.0
1,58200,549.0
1,58300,550.0
1,58400,551.0
1,58500,552.0
1,58600,553.0
1,58700,554.0
1,58800,555.0
1,58900,556.0
1,59000,557.0
1,59100,558.0
1,59200,559.0
1,59300,560.0
1,59400,561.0
1,59500,562.0
1,59600,563.0
1,59700,564.0
1,59800,565.0
1,59900,566.0
1,60000,567.0
1,60100,568.0
1,60200,569.0
1,60300,570.0
1,60400,571.0
1,60500,572.0
1,60600,573.0
1,60700,574.0
1,60800,575.0
1,60900,576.0
1,61000,577.0
1,61100,578.0
1,61200,579.0
1,61300,580.0
1,61400,581.0
1,61500,582.0
1,61600,583.0
1,61700,584.0
1,61800,585.0
1,61900,586.0
1,62000,587.0
1,62100,588.0
1,62200,589.0
1,62300,590.0
1,62400,591.0
1,62500,592.0
1,62600,593.0
1,62700,594.0
1,62800,595.0
1,62900,596.0
1,63000,597.0
1,63100,598.0
1,63200,599.0
1,63300,600.0
1,63400,601.0
1,63500,602.0
1,63600,603.0
1,63700,604.0
1,63800,605.0
1,63900,606.0
1,64000,607.0
1,64100,608.0
1,64200,609.0
1,64300,610.0
1,64400,611.0
1,64500,612.0
1,64600,613.0
1,64700,614.0
1,64800,615.0
1,64900,616.0
1,65000,616.0
1,65100,617.0
1,65200,618.0
1,65300,619.0
1,65400,620.0
1,65500,621.0
1,65600,622.0
1,65700,623.0
1,65800,624.0
1,65900,625.0
1,66000,626.0
1,66100,627.0
1,66200,628.0
1,66300,629.0
1,66400,630.0
1,66500,631.0
1,66600,632.0
1,66700,633.0
1,66800,634.0
1,66900,635.0
1,67000,636.0
1,67100,637.0
1,67200,638.0
1,67300,639.0
1,67400,640.0
1,67500,641.0
1,67600,642.0
1,67700,643.0
1,67800,644.0
1,67900,645.0
1,68000,646.0
1,68100,647.0
1,68200,648.0
1,68300,649.0
1,68400,650.0
1,68500,651.0
1,68600,652.0
1,68700,653.0
1,68800,654.0
1,68900,655.0
1,69000,656.0
1,69100,657.0
1,69200,658.0
1,69300,659.0
1,69400,660.0
1,69500,661.0
1,69600,662.0
1,69700,663.0
1,69800,664.0
1,69900,665.0
1,70000,666.0
1,70100,667.0
1,70200,668.0
1,70300,669.0
1,70400,670.0
1,70500,671.0
1,70600,672.0
1,70700,673.0
1,70800,674.0
1,70900,675.0
1,71000,676.0
1,71100,677.0
1,71200,678.0
1,71300,679.0
1,71400,680.0
1,71500,681.0
1,71600,682.0
